බණ්ඩාරණායක	PER
බන්දුල වර්ණපුර	PER
දුලිප් මෙන්ඩිස්	PER
සෝමචන්ද්‍ර ද සිල්වා	PER
රන්ජන් මඩුගල්ල	PER
අර්ජුන රණතුංග	PER
අරවින්ද ද සිල්වා	PER
හෂාන් තිලකරත්න	PER
සනත් ජයසූරිය	PER
මාවන් අතපත්තු	PER
මහේල ජයවර්ධන	PER
කුමාර් සංගක්කාර	PER
තිලකරත්න ඩිල්ෂාන්	PER
ඇන්ජෙලෝ මැතිව්ස්	PER
රංගන හේරත්	PER
විලියම් ගොපල්ලව	PER
ජුනියස් රිචඩ් ජයවර්ධන	PER
රණසිංහ ප්‍රේමදාස	PER
ඩිංගිරි බණ්ඩා විජේතුංග	PER
චන්ද්‍රිකා බණ්ඩාරනායක කුමාරතුංග	PER
මහින්ද රාජපක්ෂ		PER
මෛත්‍රිපාල සිරිසේන	PER
දොන් ස්ටීවන් සේනානායක	PER
ඩඩ්ලි සේනානායක	PER
ජෝන් කොතලාවල	PER
සොලමන් බන්ඩාරනායක	PER
විජයානන්ද දහනායක	PER
සිරිමාවො රත්වත්තේ ඩයස් බණ්ඩාරනායක	PER
ජුනියස් රිචඩ් ජයවර්ධන	PER
රණසිංහ ප්‍රේමදාස	PER
ඩිංගිරි බණ්ඩා විජේතුංග	PER
රනිල් වික්‍රමසිංහ	PER